name,empty_slots,free_bikes,latitude,longitude,yelp_center_dist,yelp_college_dist,fsq_center_dist,fsq_college_dist
11th & Washington,8,7,39.93724,-75.1612,413.82353385863024,1006.1988289664056,225.0,1290
"43rd & Chester, Clark Park",10,9,39.94822,-75.20908,392.9224227722896,223.6608945844726,306.0,223
36th & Sansom,7,10,39.9538,-75.19479,375.680027370314,94.72002875315178,122.0,81
4th & Bainbridge,7,8,39.94061,-75.14958,77.01356853536922,1063.8614263958189,50.0,1146
18th & JFK,26,8,39.9539,-75.16902,147.28134138402447,83.88653011185663,49.0,730
Broad & Diamond,12,6,39.98492,-75.15668,540.1238279634026,429.65382440966766,314.0,118
16th & Chestnut,11,7,39.95134,-75.16758,44.29371758318168,203.15481668782476,47.0,864
45th & Baltimore,3,10,39.949,-75.21278,70.83527579883521,488.4207953348893,65.0,494
"19th & Girard, PTTI",13,5,39.97263,-75.16757,424.38444521530135,1081.6043721937083,327.0,322
34th & Spruce,16,12,39.95048,-75.19324,501.15773461986106,121.47399613594357,301.0,69
10th & Chestnut,11,9,39.95005,-75.15672,133.38683074634042,149.52599521343666,64.0,198
18th & Christian,15,5,39.94077,-75.17227,31.765978477448197,727.7361186993952,11.0,1489
17th & Green,19,2,39.96437,-75.16582,197.45603530109827,169.7881052490108,104.0,232
Amtrak 30th Street Station,9,12,39.95472,-75.18323,312.5757123971979,120.0239951962934,292.0,644
Corinthian & Poplar,21,1,39.97172,-75.1706,484.87465820048703,1037.0162676535856,163.0,235
"21st & Winter, Franklin Institute",19,6,39.95886,-75.17369,520.720973658645,233.7021262111205,264.0,735
Health Sciences Drive,16,6,39.94573,-75.19551,788.3670982724566,192.0540262728612,779.0,266
"Spring Garden Station, BSL",17,3,39.96244,-75.16121,145.85216391314611,221.06077284278905,123.0,406
16th & Arch,14,6,39.95523,-75.1662,130.89788411825515,100.18503832280312,206.0,472
19th & Market,16,1,39.95355,-75.17192,69.96610751589532,171.1111257763445,70.0,932
ParkWest Town Center,13,1,39.97841,-75.22399,103.339479733391,2032.47347932366,110.0,2032
2nd & Norris,6,11,39.98101,-75.13721,253.4990445705557,1468.1534862467452,228.0,1194
Schuylkill Banks Pergola,29,3,39.96383,-75.18177,122.93243985753648,999.5540648235728,391.0,1087
Race & Franklin ,12,7,39.95501,-75.15208,344.6296059286271,56.61394019907423,316.0,386
16th & Callowhill,18,4,39.96,-75.1651,272.62376181090553,211.4417492499558,145.0,172
Broad & Oregon,8,13,39.91717,-75.17096,382.9030564093528,3166.296687610596,322.0,921
24th & Pennsylvania ,18,0,39.96566,-75.17765,299.51046626567535,996.6782088018248,125.0,1033
6th & S Washington Square,6,15,39.94628,-75.15138,123.68158845849248,478.15661125341126,207.0,594
2nd & Lombard,10,5,39.94182,-75.1455,85.36916295962385,1180.9238622289463,295.0,1236
44th & Haverford,13,3,39.96277,-75.21185,469.6735817006617,520.5556815662478,413.0,479
8th & Diamond,14,3,39.9835,-75.14743,900.1602860057483,661.1068386728006,225.0,282
Broad & Cecil B Moore,5,15,39.97887,-75.15777,179.47459045739458,173.07553657739817,81.0,48
Broad & Carpenter,10,12,39.93865,-75.16674,295.4980699053562,753.4667752278226,99.0,1329
47th & Aspen - Lucien Blackwell,8,7,39.96538,-75.21514,580.5163595639676,695.7693330113875,34.0,880
50th & Baltimore,17,3,39.94782,-75.22301,105.3764325266512,1269.506256084288,483.0,1278
24th & Christian,19,3,39.94213,-75.18335,395.0044988214438,998.3247267154912,259.0,1213
34th & Arch,16,6,39.95784,-75.19079,111.16835117057724,154.31877895051164,111.0,130
29th & Tasker,7,10,39.93366,-75.19319,867.3751329070442,1538.9060781434796,652.0,1619
34th & Chestnut,12,10,39.95441,-75.192,297.34652190280553,192.62014472677987,114.0,100
30th & Oakford,13,5,39.93882,-75.19324,569.8575513239821,979.91234147589,430.0,1058
27th & Morris - Vare Recreation Center,15,6,39.93174,-75.18996,921.702360379596,1781.9245941973386,313.0,1891
Broad & Chestnut,8,5,39.95095,-75.16438,72.33816184037848,99.0157581214974,81.0,596
23rd & Chestnut,10,13,39.95269,-75.17779,81.01320659964588,635.2898592974426,54.0,1028
16th & Montgomery,14,4,39.98091,-75.16065,127.87547507828796,315.7836067063812,235.0,241
4th & Wood,16,3,39.95673,-75.14575,198.2174322927224,176.02624192685508,245.0,815
24th & Race SRT,13,8,39.95819,-75.1782,510.318845562013,540.5979603870363,288.0,1060
2nd & Snyder,9,11,39.9216,-75.15,745.2038020405815,2989.07057994416,198.0,944
52nd & Chestnut,13,6,39.95828,-75.22424,36.61529390918257,1472.0593631006511,523.0,1448
Broad & Girard,10,6,39.97157,-75.15993,297.3925863336508,1003.7404274122462,133.0,336
Race Street Pier,7,9,39.95367,-75.13956,218.87074971585352,456.0767702608494,134.0,1129
2nd & Brown,6,10,39.96304,-75.14099,27.211399533300668,868.7599495844223,53.0,1611
The Children's Hospital of Philadelphia (CHOP),14,14,39.94781,-75.19409,582.802196340311,128.54829492905446,556.0,203
Temple University Station,8,8,39.98081,-75.15067,732.5577997061142,321.6862689235609,301.0,174
Water & Mifflin,14,8,39.9237,-75.14701,458.7897097908836,2900.00795370638,328.0,1246
19th & Oregon,17,5,39.918,-75.1796,407.2094634911022,3253.869667929269,250.0,1609
43rd & Powelton,11,7,39.9586,-75.2081,250.89402324701484,392.7481453146318,263.0,179
53rd & Baltimore,18,0,39.9476,-75.22946,445.6879706123856,1813.88898333444,771.0,1822
50th & Haverford,16,6,39.96405,-75.22048,751.8727773702337,1163.2354882048949,504.0,1196
Powelton & Lancaster,10,3,39.95957,-75.19633,166.98911440758218,443.30297996941937,203.0,591
17th & Locust,27,3,39.94892,-75.16991,97.14933205733315,370.8436916294472,98.0,1008
12th & Fairmount,12,5,39.96569,-75.15679,357.39002625613176,709.4800327446304,358.0,500
York & Aramingo,10,11,39.97576,-75.12157,26.44521310702606,2859.728658246226,60.0,2643
Ridge & Ferry,6,15,40.00773,-75.19196,103.89557190288572,1222.8045711424688,95.0,1328
8th & Spruce,12,11,39.94571,-75.15508,113.33184305696813,359.0664776855071,115.0,410
University City Station,16,20,39.94855,-75.19007,232.02302974241687,178.81542260750314,638.0,368
20th & Berks,15,3,39.98306,-75.16738,749.1200282762068,933.4546674382574,396.0,823
22nd & Sedgley,15,8,39.99301,-75.1681,1467.8779459610323,1697.632272480355,922.0,1439
13th & Mifflin,14,4,39.9265,-75.1668,87.21709921107926,2103.8690281076256,89.0,848
50th & Woodland,16,2,39.93968,-75.21362,471.28591853134986,868.1013863788136,964.0,752
10th & Nevada,20,0,39.98628,-75.14925,969.9225703819424,739.2746902955835,205.0,272
Lindbergh & Wheeler,9,12,39.9323,-75.2162,1022.5363757630043,1699.1974690619652,985.0,1569
25th & Locust,8,14,39.94974,-75.18097,117.66982708859258,669.2571853036408,372.0,789
49th & Chester,14,2,39.94367,-75.21606,349.47519935399737,727.8824497734604,563.0,688
Philadelphia Museum of Art,24,1,39.96439,-75.17987,100.29640155358447,1043.2212008122813,290.0,1176
6th & Brown,11,10,39.96409,-75.14769,167.57304523155648,984.3302254595274,257.0,1256
Midvale & Cresson,18,7,40.01112,-75.19287,308.2292623187884,846.9519291831241,426.0,950
Ridge & Heritage,24,5,40.01022,-75.197,607.5684211037727,1027.0577719991456,598.0,1112
"Independence Mall, NPS",16,3,39.95073,-75.14947,259.41323603643895,275.95301562697875,195.0,276
12th & Chestnut,13,8,39.95028,-75.16027,51.2936399601172,292.7922274631149,43.0,263
18th & Chestnut,13,7,39.95174,-75.17063,81.21227409040893,101.08689052172818,98.0,1004
42nd & Woodland,19,2,39.94717,-75.20691,561.3200391263764,148.6885266029679,405.0,138
5th & Willow,10,8,39.95946,-75.14745,244.4926423356648,504.7390255642948,258.0,979
